Document_id,Cleaned Review,Sentiment
11,fun excit space adventur that elev great heart humor charact especi rocket throughout movi rocket charact core stori journey one interest impact element filmth film featur plenti action explos time feel like mani plot also flaw storylin feel rush underdevelop howev issu overshadow film strength surprisingli dark themesthi satisfi conclus trilog deliv plenti entertain film flaw still fun engag rocket stand heart soul movi,Positive
12,unlik hit marvel string hit retrospect focus unusu famili rowdi frequent emot sequel seem much like proper final guardian galaxi vol make point great effect mostli due writerdirector jame gunn move skill competitor dcmarvel gotg vol combin visual excit recogniz charact song silli darker thread explor rocket origin promot anim rightsnevertheless guardian feel like return form front follow doubt marvel invulner due underwhelm creativ well monetarili perform antman wasp quantumania lesser extent black panther sequel give gunn credit bid love farewel barrel blaze even close book seri least temporarili,Positive
13,first everyth rocket movi absolut incred heartfelt id even argu flashback best scene weve seen marvel film date top realli appreci much whole movi push boundari pg rate get first marvel fbomb well pretti gori moment mcu standard clearli seen jame gunn given lot leeway make movi want abl get away lot make callback horror root addit whole guardian team great chemistri togeth alway great abl see interact like way movi dealt gamora return relationship peter quill top love moment movi jokingli hint might get someth star lord nebula oddli enough wish get wouldv great subvers expectationsnow onto stuff like le ill start comedi alreadi begin issu nd movi problem modern marvel movi comedi gotg often felt forc joke drawn long realiz seri known comed mayb joke need place natur instead forc much howev opinion though least appreci werent joke moment suppos seriou furthermor soundtrack le appeal time around might due prefer soft rock entri expand differ music era top marvel project massiv cgi battl end ye moment great battl like onetak corridor sequenc still left switch think someth el bloat action sequenc happen keep engag part howev genuin tension felt sure one guardian dead end tension howev unwarr charact die major disappointmentth lack charact death prevent film feel like final intend one two guardian bit bullet definit way wouldv probabl rais rate rocket wasnt laid film instead kidnap couldv die final battl heaven scene couldv actual end follow lylla thu maxim emot impact addit feel like star lord perish wouldv realli great way end mayb better manner tri save zune also guardian split doesnt feel satisfi classic trope group peopl split realiz happiest togeth opinion lack final setup charact return futur marvel movi lessen suppos impact last time see guardian togeth might get guardian galaxi although wouldnt surpris bet see team togeth aveng anoth project even briefli doesnt feel like epic conclus promis rather setup charact featur mcu go forward guess comic book movi never proper end even someth great like logan prove hugh jackman set return deadpool mayb shouldnt expect film provid conclus studio alway tri get charact actor money made howev overal even though lot review mightv seem neg much enjoy movi didnt wow like seem peopl simpli lack final person desir,Positive
14,guardian galaxi vol bit tonal mess quit easili least favourit three said entertain good deal fun watch cant call slam dunk put behind origin hard fault vol littl easier fault fault dont mean much balanc workswith vol think imperfect balanc comedi action sentiment heartbreak make stumbl two movi got balanc right screenwrit miracl could technic feel unwieldi unbalanc doesnt quit mesh togeth ideallyther realli violent scene genuin traumat honestli kind disturb moment joke youd expect theyr larg funni sad scene realli corni scene moment work isol vol bit like best orchestra world led conductor who roll bed take better part two half hour wake upbut individu element let wash work extrem well minut long doesnt feel pace larg work entertain look better visual inspir anyth phase mayb that say much creativ like violent heavi get dont think combin seamlessli fun stuff jokesstil feel gener success mayb tug heartstr littl aggress lot work like handl charact besid mayb gamora newcom adam warlock storylin otherwis sound charact arc pretti good end what nice trilog,Positive
15,love guardian galaxi group misfit wholesom kind imperfect therefor wonder howev movi go give kid level trauma never end stori dumbo watership bambi etc etc gave gen x absolut brutal anim cruelti scene reason easier cope villain target human ball eye certain point poor rocket friend end mostli okay im never watch long live trigger sort childhood movi ptsd sure need harsh traumatis honest,Negative
16,film lot darker ever thought marvel comicbook film would could also much better bar gotg alreadi set high light past installmentsinstead repeat posit review alreadi point want say strong propon anim anim welfar normal steer away watch film anim brutal cruelti case torn cours fiction tale far realiti live mani anim even day age fact creator normal consid famili fare chose go deep cuttingli subject someth bear recognit whether meant sake good recognit sake either way depict cut deeplyeven flaw flaw go top infight gotg opinion best trilog yet see rewatch frequenc first two instal see worthi action excel although toneddown humor seamless arc overal brillianc core difficult watch part full heartach heartbreakin end that left say least viewer thank jame gunn creativ miracl brain dedic serv guardian gotg fan everywher also would remiss includ big shoutout poulter magnific play adam warlock seamlessli captur deliv essenc hero villain give u hope second chanc redempt importantli big heart tremend actor portray hero thank hour hour laughter tear,Positive
17,pack emot wallopit old favorit new equal memor addit power awesom sound track exchang dialogu full fresh witit eclect group friend tri save one heart rend back storyit meaner villain almost everi marvel studio film sinc endgameit pack super hero confront next existenti threat mankindit almost perfect sendoff guardian jame gunn signatur creation creativ imprint look feel hear everi framei postpon see everi marvel film except second black panther seem deriv everi film minor tweaksthi easili top distanc love,Positive
18,guardian galaxi vol third final instal popular marvel franchis follow adventur ragtag team cosmic hero serv fit farewel one belov distinct franchis marvel cinemat univers writerdirector jame gunn deliv thrill hilari emot conclus trilog guardian face biggest challeng yet save one mad scientist creat himth plot film revolv around guardian quest save rocket cooper reveal genet engin experi high evolutionari iwuji mad scientist want creat perfect societi eugen along way also deal adam warlock poulter power creat ayesha debicki leader sovereign race seek reveng guardian steal batteri film also explor aftermath gamora saldana death resurrect affect relationship peter quill prattth action scene wellchoreograph thrill movi skill balanc action comedi drama maintain focu charact relationship cast deliv excel perform pratt cooper deliv heartfelt portray quill rocket struggl ident purpos saldana karen gillan shine gamora nebula whose complic sisterhood evolv throughout film drax play dave bautista deliv funniest line pom klementieff add sweet charm manti vin diesel sean gunn also great groot kraglin respectivelyth movi also introduc new charact fit well guardian world poulter impress adam warlock conflict arc set futur stori iwuji menac high evolutionari serv formid villain person nemesi rocket maria bakalova steal everi scene she cosmo spacedog telepath soviet canin help guardian sylvest stallon also return stakar ogord lead team ravag includ michael rosenbaum martinex daniela melchior urath movi visual stun vibrant color imagin design bring counterearth cosmic locat life cinematographi henri braham dynam invent captur action emot flair edit fred raskin greg dauria tight smooth keep pace brisk engag music john murphi epic catchi blend orchestr cue classic rock song fit tone mood sceneguardian galaxi vol satisfi end amaz saga entertain move million fan around world testament gunn vision talent well chemistri charisma cast also celebr theme defin guardian famili friendship redempt heroism movi make laugh cri cheer danc along lovabl misfit becom legend right,Positive
19,truli feel like end golden age mcu say goodby charact weve nearli year faith jame gunn pull fit farewel faith reward vol heartbreak emot departur belov charact rocket take spotlight threequel everi charact manag get shine receiv suitabl sendoff im honestli impress gunn found perfect way close charact chapter without resort cop deathsin true gunn fashion product design world weirder ever visual color alway highlight film soundtrack differ awesom mix vol plenti banger one beasti boy scene highlight film sure prepar emot stori man wasnt prepar feel anim contrast truli terrifi villain high evolutionari real standout amongst long list mcu villain genuin repuls yet simultan compellingexclud way home gotg favorit marvel film sinc endgam everyth need im hope sign thing come marvel sole due immens passion talent studio rival jame gunn,Positive
20,guardian hope isnt say terribl film peopl wont love imagin somewhat divis audienc take new direct film goe infirst full social polit disney becom infam realli unless count disney continu quest avoid depict happi heterosexu relationship like depend look want someth like first two ie comed film seriou moment youll like disappoint seriou movi comed momentsand make mistak seriou movi darkest guardian movi far arguabl darkest mcu film date rocket backstori especi feel manipul melodrama come danger close miseri porn though gunn crew sat around writer room constantli ask make depress film get grim part seri trademark humor show rather lighten mood instead feel place tonal inconsistentanoth note grim dark natur film even though still rate pg skirt closer r rate mcu film far overli gratuit moment genuin brutal violenc kind surpris first mcu film drop fbomb honestli think lot parent gon na taken aback differ kind film compar twoth pace film either good bad depend person view long stori short fast pace movi kind jj abram break neck pace never let audienc stop mull anyth happen alway move forward yet despit still felt movi minut longer need everi movi need epic length run timemi biggest issu film though end rather satisfi conclus film one kind peeter end real sen closur bizarr given suppos final film og cast crew feel le like seri final like season final everyon set start futur money good enoughso like cast great usual peopl clearli enjoy work charm watch togeth fx amaz better recent mcu film action scene pretti great probabl favorit part high observ unlik mani recent disney project bad guysgal misunderstood antihero villain unmitigatedli evil make feel much threaten mcu baddi recent memoryin end isnt bad movi great one either easili worst guardian film still leagu better phase mcu film except way home love seri mayb check warn differ beast youv like come expect,Negative
21,jame gunn one filmmak oper massiv system biggest movi moneymak factori world without sacrif voic watch guardian galaxi vol see director know balanc corpor need person blockbust filmmak scifiactioncomedi still succumb mcu issu late there creativ filmmak dialogu perform modern superhero movi often lack gunn like kid play action figur he pull apart smash back togeth make new creation doesnt love loser want see save univers rocket racoon voic bradley cooper listen creep radiohead tonesett teach special movi fill clever needl drop make tonesett adam warlock poulter rocket chukwudi iwuji attack high evolutionari chukwudi iwuji rocket take worst beat hover near death movi put film two track flashback rocket origin stori presentday tale guardian tri save mission lead high evolutionari mad scientist creat rocket year ago guardian galaxi vol appeal defi product art aesthet clunki weird thrill see gunn push unsettl creatur design set feel like theyr take place actual physic space instead bland cgi make superhero movi look like watch someon el play video game there version vol that even chaotic person everi time blockbust felt like edg content art back flashbackmiss structur guardian galaxi vol sometim drain film momentum gunn person intact remind best blockbust dont sing along wellknown tune like creep make song gunn would say make u special flashbackmiss structur vol sometim drain film momentum gunn person intact,Positive
22,struggl find right word sum underwhelm decent oversold frustratingmayb superhero mcu fatigu real didnt love film much thought would haveearli screen review said best mcu film etc feel belongsth good act perform perfect great show entir cast cgi great charact develop fantast especi drax daddi score soundtrack fantasticth bad adam warlock high evolutionari two pathet villain entir mcu adam mummi boy whose strength nonexist mostli pointless charact he weak ultim join new guardian galaxi high evolutionari spoilt manchild essenti weaker kang anger issu kept think throughout feel like thor love thunder babi antman wasp quantumania addit jame gunn humour destroy everi ten scene there far much humour splatter everi scenenow biggest issu plot armourgroot get behead grow bodi back livesmanti get batter heal second laterdrax get beaten inch life yet surviv fulli recov second laternebula get everi limb twist yet repair immediatelyal open scenenebula get shot back she bleed fine second laterdrax get shot back heart yet finepet quill launch space unprotect ish second perfectli fine next scenerocket die second dramat effect yetyou guess come back lifenow dont misinterpret like film way love film end left dissatisfi,Positive
23,mcu disney whole larg amount dud recent year failur failur tv film entir phase cinemat univers fall flatter pancak viewer drop revenu across front need phase success stutter start isnt way good thing futurespoil incom never go stop hurtinglast time saw guardian love thunder like portray there littl develop stori find gamorah isnt import part bad guy massiv multimovi stori plot need shove set begin weve got high evolutionari involv get continu sovereign plot last gotg moviebut enough thing central plot like said stick next major bad guy go threat across moviesfor reason never figur outther lot cute moment lot furri anim ador pay off cameo previou movi end oh rememb rather worthwhil contributionsbut weirdest part inclus child like th marvel properti forcibl includ child stori reason whatsoev high evolutionari didnt need kid base alreadi enough reason dislik happen rocket includ like love thunder multivers mad quantumania dont get possibl idea kid see kid screen make like that work make loud nois bright primari colour kid likeultim shown right superhero movi know dc vers go control director made thisand review like major like ive said furri cute creatur hug screen happi end quill go home im lie,Positive
24,bad much matur previou guardian unfortun matur doesnt mean betterth best part guardian fun first one also pretti funni one almost fun certainli funnya lot music sure music way wors use previou instal still im pretti sure sever good song could foundth girl hot use strang caus gillan debicki actual prime actual saldana least cold threeth one tri fun dex manti doesnt work get point effort starlord probabl funniest yet he pin gamora whole time understand angri gamora also fun she angryadam worlock buffoon funni one villain high evolutionari littl interest realist foe doesnt pose much threat funeven nathan fillion appear fun funnyth stori matur also underwhelm lot time wast silli interact rocket cage genet experi companion time could use show deep impact rocket predica guardiansth end underwhelm there substanti reason band break except gamora gamora part band begin nebula suddenli decid want mayor fine starlord visit grandpa forego team creat order learn swim metaphor actual clear might fine poem superhero movieal lead import thing groot final say someth groot doesnt work disappoint underwhelmingat end say starlord back would nice come back one last laugh doesnt realli work goodby guardian,Positive
25,one word come mind contrivancethi film one gigant contriv plot charact heck everyth commit worst sin film like make boringrememb much fun first guardian movi rememb sweet lovabl charact rememb fresh silli genuin entertain wasthat absent movi overblown overwrought absolut clue want betalk clueadam warlock oh gosh absolut idea like threw he tea previou movi he he excit enjoy remot necessari stori wast everyon timeov last year weve grown love charact bigger meaner facsimil vari degre importantli didnt buy sellingth movi feel like theme park attract cheesi stupid way cant help roll eye there littl heart almost soul movi go motion marvel movi product consum like anyth that made without care purpos leav feel empti insidechri pratt use endear charm comed sensibl peter quill like child play han solo relat gone line land feel unnecessari drop fbomb funni also felt unnecessari immedi afterwardth thing work rocket backstori took favorit charact guardian frame film around let say thing remot work told origin coma major film stori engag bit unsettl thing keep unnecessarili long film even remot worth invest timeth high evolutionari alway intrigu engag villain fall marvel trap becom anoth bad guy purpos evil isnt compel interest give u reason care he he unsympathet poorli deploy there littl threat motiv arent excit say ring true comic counterpart id lean bodi horror concept made dr moreau lame loud obnoxi version didnt engag mei saw bunch marvel fan everyon around stuck around mid postcredit scene throughout film heard mani peopl frustrat laugh dumb movi waswev come expect lot jame gunn he fantast director abil add genuin patho soul mani charact get someth feel half bake overcook time mani charact mani plot contriv happen absolut nowher end day worth time money efforti want leav theater actual want end sooner gone feel year old joy wonder feel exhilarationit gonei tri neg dont want rant thing hate want spread joy happi love mani time found want yell screen insult mine audienc collect intellig good faith previous earn final danc number ye danc number happen felt embarrassedit left think one thing exactli movi dour mean kid engag smart enough appear adultsoh want scream groot end,Positive
26,guardian galaxi volum chaotic weird oftentim ridicul also full heart emot great themesi must say best marvel movi sinc endgam that necessarili hard though need surpass way home amaz high moment lazi other marvel desper need hit theyv final got ithighlightseveri member crew got time shine rocket definit one stood though see friend die wail pain grief made bawl high evolutionari mock man heavi stuff proce rip face two friend shot well thu rocket traumat pastim revealedchukwudi iwuji fantast villain certain point downright terrifi realli like line god that took place convinc villainth moment starlord scream agoni rocket live moment reson lost mani peopl close cant stand lose anyon elsegamora get lot charact develop im glad didnt kiss quill end would felt littl cheapdrax manti nebula adam warlock other also got moment well im surpris nobodi die honeston problem movi humor lot time good passabl time undercut realli emot scenesi could say lot review alreadi long,Positive
27,sat phase film fail inspir guardian feel like breath fresh air le run mill superhero film world space adventur handl care jame gunnat heart guardian galaxi volum stori famili loss technolog promin today zeitgeist theme sometim caus forget watch marvel movi movi backstori dark help hammer home theme villainth univers full charact weird sometim weird uniqu compar rest mcu that mostli good thing despit movi dark time also lot humour fit especi well guardian galaxi franchis compar marvel franchis action cours music level expect guardian galaxi movi one better post endgam movi fit end trilog,Positive
28,point one trilog mcu excel start finish time add anoth one list guardian galaxi vol fit conclus narr charact jame gunn writerdirector took time creat connect depth individu storyarcswhil recent film mcu felt like filler episod whose purpos sole set futur entri franchis film stand stori isol give illus final way one guardian uniqu entri otherwis convolut extend film universeth filmmak afraid take time tell stori caus film drag time though felt lengthi hour minut know could cut typic superhero movi fashion climact battl plenti explos go aroundbetween villain bicker within guardian excess amount yell movi headach immin much third act scream match scream match scene emot heavi yell distract bit strong actingguardian galaxi vol one better entri marvel cinemat univers sinc aveng endgam though chaotic two film trilog beauti conclus guardian stori boast stellar set piec excel soundtrack perfect chemistri cast member film eager rewatchbest charact drax best quot u best scene infiltr orgocorp best piec score love guy,Positive
29,god that step admit one best line ever spoken supervillain concis captur whole reason seem like would perfect thing thano say oddli though there real backstori high evolutionari usual marvel villain might much materi quit appropri attent realli scruffi argument lovabl hero guardiansi like time around get well deserv fair share screen time mean sit pretti long movi fine manti nebula particular better charact quill gamora drax good ever choic make rocket extend backstori mainspr plot clever end carri real weight rocket elev tragic substanti figur practic level spiderman that say lotth whole guardian seri owe director jame gunn bigtim shame see move im look forward see hell abl dc set motion group charact realli work rd instal build effect top predecessor go theater knew expect got that big complimentat time done warlock high evolutionari kind odd end disappoint warlock especi kind trivial he capabl becom major charact would follow path set origin comic one critic asid still one mcu best thank let jame gunn mind,Positive
30,firstli adam warlock intro marvel made hate kang depict quantumania even adam seem way hardcor kang shownshown talk high evolutionari deliv reputationnow movi whole love even live emot altern two time blend serv farewel belov band misfit becam famili dont recal ever feel connect charact rocket take spotlight everybodi el great well antagonist protagonistsecond half chaotic love movi gener emot pack great action well last third movi adam warlock felt like wast he portray realli strong charact yet felt like he sidelin whole movi pop disappear deserv better charact arc introduct hope well see thought third act predict though especi mantis role like oh mantiswarlock would conveni scenario moment later hesh pop upi think best qualiti one superhero movi felt invest charact movi focus emot aspect instead plot look cool even though that preval theme movi wasnt expect enjoy much despit look forward thought itd anoth case superhero burnout sad well made farewel guardian galaxi know oh forgot mention pretti funni,Positive
31,ive want yeah joke bit silli tone bit confus time end result probabl heartfelt emot reaction comic book movi sinc endgam perfect film conflict adam warlock main villain littl hammi person relationship guardian take dark heartbreak also beauti also best perform chri pratt probabl entir time play charact person steal show rocket dont know need chang rule degre voic act perform nomin oscar incred emot satisfi experi ive mcu long time everi critic say movi schmaltzi sappi doesnt understand much charact mean peopl also jame gunn isnt final chapter stori goodby set charact film chang landscap tone vibe superhero movi also chang fact weird unknown charact strang stori highlight film,Positive
32,lead back start great trilog indic past gotg surpass expect noth short phenomen perform cast truli well written shi away could understood requir sen matur understand rocket back stori alon occas dark incred sad tear instanc film honestli expect jame gunn yet provid absolut beauti piec cinematographi say realli hope futur dive back stori coloni adam warlock final mcu like cameo deliv tradit guardian humor film meant matur audienc marvel trust great film,Positive
33,near perfect end incred marvel trilogyguardian galaxi one best marvel movi ever produc par succeed first instal person didnt think number good allth humour brilliant storylin perfectli pace charact get time screen world build wonder action fantast cgi far better recent marvel addit alway music excellentthi entri focus heavili belov rocket final piec guardian galaxi trilog pull lot charact arc almost full circleour bad guy actor im unfamilar perfect villain quick search imdb final recognis cast number popular tv show also tear jerker movi dont surpris find weep throughout sever point filmyou wont dissapoint final addit guardian may feel littl sad come end,Positive
34,im one cri movi often one broke four mere estim spent entir last hour film tear guardian galaxi vol unexpect masterpiec work art absolut broke mefrom soundtrack write charact use flashback movi close perfect get alreadi establish charact manag heartwrench way movi leav bittersweet tast mouth much think manag make hour feel ten time short never expect fall love movi got viscer way ill never forget experi see itth best marvel film ever,Positive
35,probabl favourit guardian galaxi movi jame gunn tone comedi depart one give u complex intrigu seriou stori film kept charm crew still uniqu style guardian movi mostli music alway look forward music movi soundtrack fantast emot energet love manag give u realli emot stori rocket whilst time everyon el film well written mani cast member involv rocket storylin absolut tragic realli upset hear watch even made cri thing hear cri squeal rip apart realli sad happen friend bit made cri pain rocket realli heartbreak want free friend live lot shock film thing happen wouldnt expect great drax glimps fulli flesh one talk daughter big part charact told made dad star lord got earth stori told go back see grandpa realli cool everyon el realli cool cosmo awesom adam warlock good cant wait see side charact quit dark marvel film bloodi scene even f word realli enjoy gritti tone marvel emot journey charact one last time one awesom made cri cant wait see new guardian galaxi play realli cool charact roster fantast movi love bit,Positive
36,fun excit space adventur that elev great heart humor charact especi rocket throughout movi rocket charact core stori journey one interest impact element filmth film featur plenti action explos time feel like mani plot also flaw storylin feel rush underdevelop howev issu overshadow film strength surprisingli dark themesthi satisfi conclus trilog deliv plenti entertain film flaw still fun engag rocket stand heart soul movi,Positive
37,unlik hit marvel string hit retrospect focus unusu famili rowdi frequent emot sequel seem much like proper final guardian galaxi vol make point great effect mostli due writerdirector jame gunn move skill competitor dcmarvel gotg vol combin visual excit recogniz charact song silli darker thread explor rocket origin promot anim rightsnevertheless guardian feel like return form front follow doubt marvel invulner due underwhelm creativ well monetarili perform antman wasp quantumania lesser extent black panther sequel give gunn credit bid love farewel barrel blaze even close book seri least temporarili,Positive
38,first everyth rocket movi absolut incred heartfelt id even argu flashback best scene weve seen marvel film date top realli appreci much whole movi push boundari pg rate get first marvel fbomb well pretti gori moment mcu standard clearli seen jame gunn given lot leeway make movi want abl get away lot make callback horror root addit whole guardian team great chemistri togeth alway great abl see interact like way movi dealt gamora return relationship peter quill top love moment movi jokingli hint might get someth star lord nebula oddli enough wish get wouldv great subvers expectationsnow onto stuff like le ill start comedi alreadi begin issu nd movi problem modern marvel movi comedi gotg often felt forc joke drawn long realiz seri known comed mayb joke need place natur instead forc much howev opinion though least appreci werent joke moment suppos seriou furthermor soundtrack le appeal time around might due prefer soft rock entri expand differ music era top marvel project massiv cgi battl end ye moment great battl like onetak corridor sequenc still left switch think someth el bloat action sequenc happen keep engag part howev genuin tension felt sure one guardian dead end tension howev unwarr charact die major disappointmentth lack charact death prevent film feel like final intend one two guardian bit bullet definit way wouldv probabl rais rate rocket wasnt laid film instead kidnap couldv die final battl heaven scene couldv actual end follow lylla thu maxim emot impact addit feel like star lord perish wouldv realli great way end mayb better manner tri save zune also guardian split doesnt feel satisfi classic trope group peopl split realiz happiest togeth opinion lack final setup charact return futur marvel movi lessen suppos impact last time see guardian togeth might get guardian galaxi although wouldnt surpris bet see team togeth aveng anoth project even briefli doesnt feel like epic conclus promis rather setup charact featur mcu go forward guess comic book movi never proper end even someth great like logan prove hugh jackman set return deadpool mayb shouldnt expect film provid conclus studio alway tri get charact actor money made howev overal even though lot review mightv seem neg much enjoy movi didnt wow like seem peopl simpli lack final person desir,Positive
39,guardian galaxi vol bit tonal mess quit easili least favourit three said entertain good deal fun watch cant call slam dunk put behind origin hard fault vol littl easier fault fault dont mean much balanc workswith vol think imperfect balanc comedi action sentiment heartbreak make stumbl two movi got balanc right screenwrit miracl could technic feel unwieldi unbalanc doesnt quit mesh togeth ideallyther realli violent scene genuin traumat honestli kind disturb moment joke youd expect theyr larg funni sad scene realli corni scene moment work isol vol bit like best orchestra world led conductor who roll bed take better part two half hour wake upbut individu element let wash work extrem well minut long doesnt feel pace larg work entertain look better visual inspir anyth phase mayb that say much creativ like violent heavi get dont think combin seamlessli fun stuff jokesstil feel gener success mayb tug heartstr littl aggress lot work like handl charact besid mayb gamora newcom adam warlock storylin otherwis sound charact arc pretti good end what nice trilog,Positive
40,love guardian galaxi group misfit wholesom kind imperfect therefor wonder howev movi go give kid level trauma never end stori dumbo watership bambi etc etc gave gen x absolut brutal anim cruelti scene reason easier cope villain target human ball eye certain point poor rocket friend end mostli okay im never watch long live trigger sort childhood movi ptsd sure need harsh traumatis honest,Negative
41,film lot darker ever thought marvel comicbook film would could also much better bar gotg alreadi set high light past installmentsinstead repeat posit review alreadi point want say strong propon anim anim welfar normal steer away watch film anim brutal cruelti case torn cours fiction tale far realiti live mani anim even day age fact creator normal consid famili fare chose go deep cuttingli subject someth bear recognit whether meant sake good recognit sake either way depict cut deeplyeven flaw flaw go top infight gotg opinion best trilog yet see rewatch frequenc first two instal see worthi action excel although toneddown humor seamless arc overal brillianc core difficult watch part full heartach heartbreakin end that left say least viewer thank jame gunn creativ miracl brain dedic serv guardian gotg fan everywher also would remiss includ big shoutout poulter magnific play adam warlock seamlessli captur deliv essenc hero villain give u hope second chanc redempt importantli big heart tremend actor portray hero thank hour hour laughter tear,Positive
